Codigo,adm,Intereses,sancion,parqueaderos,otros valores,retroactivo,total,saldo a favor
16103,0,0,0,0,0,0,814759,0
16104,0,0,0,0,0,0,645300,0
16201,0,0,0,0,0,0,51000,0
16202,0,0,0,0,0,0,22000,0
16203,0,0,0,0,0,0,101300,0
16204,0,0,0,0,0,0,200800,0
16301,0,0,0,0,0,0,160300,0
16302,0,0,0,0,0,0,210800,0
16303,0,0,0,0,0,0,52390,0
16304,0,0,0,0,0,0,0,152000
16401,0,0,0,0,0,0,72700,0
16402,0,0,0,0,0,0,346200,0
16403,0,0,0,0,0,0,54000,0
16404,0,0,0,0,0,0,39900,0
16501,0,0,0,0,0,0,10100,0
16502,0,0,0,0,0,0,1277502,0
16503,0,0,0,0,0,0,696990,0
16504,0,0,0,0,0,0,0,19800
16601,0,0,0,0,0,0,10278,0
16602,0,0,0,0,0,0,1558900,0
16603,0,0,0,0,0,0,241400,0
16604,0,0,0,0,0,0,368282,0
17101,0,0,0,0,0,0,10100,0
17102,0,0,0,0,0,0,873609,0
17103,0,0,0,0,0,0,54000,0
17104,0,0,0,0,0,0,216600,0
17201,0,0,0,0,0,0,113800,0
17202,0,0,0,0,0,0,0,57000
17203,0,0,0,0,0,0,20200,0
17204,0,0,0,0,0,0,32600,0
17301,0,0,0,0,0,0,94100,0
17302,0,0,0,0,0,0,30300,0
17303,0,0,0,0,0,0,63200,0
17304,0,0,0,0,0,0,93900,0
17401,0,0,0,0,0,0,51000,0
17402,0,0,0,0,0,0,54000,0
17403,0,0,0,0,0,0,0,5600
17404,0,0,0,0,0,0,159170,0
17501,0,0,0,0,0,0,51000,0
17502,0,0,0,0,0,0,108300,0
17503,0,0,0,0,0,0,54000,0
17504,0,0,0,0,0,0,54000,0
17601,0,0,0,0,0,0,1512143,0
17602,0,0,0,0,0,0,109000,0
17603,0,0,0,0,0,0,84300,0
17604,0,0,0,0,0,0,1085400,0
18101,0,0,0,0,0,0,0,75200
18102,0,0,0,0,0,0,80600,0
18103,0,0,0,0,0,0,54600,0
18104,0,0,0,0,0,0,10100,0
18201,0,0,0,0,0,0,51600,0
18202,0,0,0,0,0,0,0,31300
18203,0,0,0,0,0,0,53000,0
18204,0,0,0,0,0,0,2130214,0
18301,0,0,0,0,0,0,2480243,0
18302,0,0,0,0,0,0,105000,0
18303,0,0,0,0,0,0,64100,0
18304,0,0,0,0,0,0,59200,0
18401,0,0,0,0,0,0,70400,0
18402,0,0,0,0,0,0,64100,0
18403,0,0,0,0,0,0,57410,0
18404,0,0,0,0,0,0,10100,0
18501,0,0,0,0,0,0,815700,0
18502,0,0,0,0,0,0,72600,0
18503,0,0,0,0,0,0,74200,0
18504,0,0,0,0,0,0,56000,0
18601,0,0,0,0,0,0,53200,0
18602,0,0,0,0,0,0,969393,0
18603,0,0,0,0,0,0,51600,0
18604,0,0,0,0,0,0,59300,0
19101,0,0,0,0,0,0,3766265,0
19102,0,0,0,0,0,0,171880,0
19103,0,0,0,0,0,0,10100,0
19104,0,0,0,0,0,0,66500,0
19201,0,0,0,0,0,0,114960,0
19202,0,0,0,0,0,0,1927083,0
19203,0,0,0,0,0,0,54000,0
19204,0,0,0,0,0,0,489000,0
19301,0,0,0,0,0,0,609990,0
19302,0,0,0,0,0,0,53000,0
19303,0,0,0,0,0,0,543700,0
19304,0,0,0,0,0,0,66200,0
19401,0,0,0,0,0,0,40900,0
19402,0,0,0,0,0,0,25800,0
19403,0,0,0,0,0,0,0,1000
19404,0,0,0,0,0,0,590000,0
19501,0,0,0,0,0,0,75600,0
19502,0,0,0,0,0,0,74200,0
19503,0,0,0,0,0,0,1182872,0
19504,0,0,0,0,0,0,76318,0
19601,0,0,0,0,0,0,828521,0
19602,0,0,0,0,0,0,74200,0
19603,0,0,0,0,0,0,147266,0
19604,0,0,0,0,0,0,67100,0
20101,0,0,0,0,0,0,11863,0
20102,0,0,0,0,0,0,64100,0
20103,0,0,0,0,0,0,56200,0
20104,0,0,0,0,0,0,74600,0
20201,0,0,0,0,0,0,71200,0
20202,0,0,0,0,0,0,94400,0
20203,0,0,0,0,0,0,54900,0
20204,0,0,0,0,0,0,54000,0
20301,0,0,0,0,0,0,105000,0
20302,0,0,0,0,0,0,148200,0
20303,0,0,0,0,0,0,54000,0
20304,0,0,0,0,0,0,57000,0
20401,0,0,0,0,0,0,411300,0
20402,0,0,0,0,0,0,54000,0
20403,0,0,0,0,0,0,572800,0
20404,0,0,0,0,0,0,451700,0
20501,0,0,0,0,0,0,0,5800
20502,0,0,0,0,0,0,502404,0
20503,0,0,0,0,0,0,1332000,0
20504,0,0,0,0,0,0,67100,0
20601,0,0,0,0,0,0,527200,0
20602,0,0,0,0,0,0,10100,0
20603,0,0,0,0,0,0,76300,0
20604,0,0,0,0,0,0,356700,0
21101,0,0,0,0,0,0,113300,0
21102,0,0,0,0,0,0,62800,0
21103,0,0,0,0,0,0,185600,0
21104,0,0,0,0,0,0,124200,0
21201,0,0,0,0,0,0,70400,0
21202,0,0,0,0,0,0,30300,0
21203,0,0,0,0,0,0,147800,0
21204,0,0,0,0,0,0,57000,0
21301,0,0,0,0,0,0,10100,0
21302,0,0,0,0,0,0,84300,0
21303,0,0,0,0,0,0,0,224400
21304,0,0,0,0,0,0,69200,0
21401,0,0,0,0,0,0,61100,0
21402,0,0,0,0,0,0,64000,0
21403,0,0,0,0,0,0,61300,0
21404,0,0,0,0,0,0,76400,0
21501,0,0,0,0,0,0,72700,0
21502,0,0,0,0,0,0,30300,0
21503,0,0,0,0,0,0,124390,0
21504,0,0,0,0,0,0,468800,0
21601,0,0,0,0,0,0,434200,0
21602,0,0,0,0,0,0,8400,0
21603,0,0,0,0,0,0,64100,0
21604,0,0,0,0,0,0,77200,0
22101,0,0,0,0,0,0,1424600,0
22102,0,0,0,0,0,0,84300,0
22103,0,0,0,0,0,0,65017,0
22104,0,0,0,0,0,0,48600,0
22201,0,0,0,0,0,0,63200,0
22202,0,0,0,0,0,0,76200,0
22203,0,0,0,0,0,0,203000,0
22204,0,0,0,0,0,0,900,0
22301,0,0,0,0,0,0,804800,0
22302,0,0,0,0,0,0,54000,0
22303,0,0,0,0,0,0,129100,0
22304,0,0,0,0,0,0,443600,0
22401,0,0,0,0,0,0,45800,0
22402,0,0,0,0,0,0,30300,0
22403,0,0,0,0,0,0,64600,0
22404,0,0,0,0,0,0,54300,0
22501,0,0,0,0,0,0,123960,0
22502,0,0,0,0,0,0,20200,0
22503,0,0,0,0,0,0,871618,0
22504,0,0,0,0,0,0,57000,0
22601,0,0,0,0,0,0,465730,0
22602,0,0,0,0,0,0,54000,0
22603,0,0,0,0,0,0,48000,0
22604,0,0,0,0,0,0,1575175,0
23101,0,0,0,0,0,0,10100,0
23102,0,0,0,0,0,0,54000,0
23103,0,0,0,0,0,0,49300,0
23104,0,0,0,0,0,0,47600,0
23201,0,0,0,0,0,0,371500,0
23202,0,0,0,0,0,0,73400,0
23203,0,0,0,0,0,0,53500,0
23204,0,0,0,0,0,0,349800,0
23301,0,0,0,0,0,0,1580680,0
23302,0,0,0,0,0,0,167180,0
23303,0,0,0,0,0,0,41000,0
23304,0,0,0,0,0,0,57000,0
23401,0,0,0,0,0,0,61100,0
23402,0,0,0,0,0,0,262900,0
23403,0,0,0,0,0,0,2130577,0
23404,0,0,0,0,0,0,57000,0
23501,0,0,0,0,0,0,127500,0
23502,0,0,0,0,0,0,54000,0
23503,0,0,0,0,0,0,90400,0
23504,0,0,0,0,0,0,0,37800
23601,0,0,0,0,0,0,69000,0
23602,0,0,0,0,0,0,74200,0
23603,0,0,0,0,0,0,51400,0
23604,0,0,0,0,0,0,77200,0
24101,0,0,0,0,0,0,202300,0
24102,0,0,0,0,0,0,293500,0
24103,0,0,0,0,0,0,123701,0
24104,0,0,0,0,0,0,0,76000
24201,0,0,0,0,0,0,16000,0
24202,0,0,0,0,0,0,50000,0
24203,0,0,0,0,0,0,54000,0
24204,0,0,0,0,0,0,77200,0
24301,0,0,0,0,0,0,51000,0
24302,0,0,0,0,0,0,54000,0
24303,0,0,0,0,0,0,156400,0
24304,0,0,0,0,0,0,114100,0
24401,0,0,0,0,0,0,379700,0
24402,0,0,0,0,0,0,62400,0
24403,0,0,0,0,0,0,43302,0
24404,0,0,0,0,0,0,20200,0
24501,0,0,0,0,0,0,458100,0
24502,0,0,0,0,0,0,47200,0
24503,0,0,0,0,0,0,82000,0
24504,0,0,0,0,0,0,57000,0
24601,0,0,0,0,0,0,252851,0
24602,0,0,0,0,0,0,68600,0
24603,0,0,0,0,0,0,129200,0
24604,0,0,0,0,0,0,97400,0
25101,0,0,0,0,0,0,2412944,0
25102,0,0,0,0,0,0,143112,0
25103,0,0,0,0,0,0,73200,0
25104,0,0,0,0,0,0,610600,0
25201,0,0,0,0,0,0,40300,0
25202,0,0,0,0,0,0,74200,0
25203,0,0,0,0,0,0,54000,0
25204,0,0,0,0,0,0,135200,0
25301,0,0,0,0,0,0,170000,0
25302,0,0,0,0,0,0,933800,0
25303,0,0,0,0,0,0,1236400,0
25304,0,0,0,0,0,0,1036613,0
25401,0,0,0,0,0,0,39000,0
25402,0,0,0,0,0,0,974600,0
25403,0,0,0,0,0,0,115310,0
25404,0,0,0,0,0,0,62600,0
25501,0,0,0,0,0,0,119770,0
25502,0,0,0,0,0,0,109000,0
25503,0,0,0,0,0,0,64100,0
25504,0,0,0,0,0,0,64200,0
25601,0,0,0,0,0,0,305800,0
25602,0,0,0,0,0,0,309500,0
25603,0,0,0,0,0,0,287709,0
25604,0,0,0,0,0,0,0,173807
26101,0,0,0,0,0,0,107425,0
26102,0,0,0,0,0,0,380177,0
26103,0,0,0,0,0,0,2344747,0
26104,0,0,0,0,0,0,103800,0
26201,0,0,0,0,0,0,61100,0
26202,0,0,0,0,0,0,54000,0
26203,0,0,0,0,0,0,109000,0
26204,0,0,0,0,0,0,67100,0
26301,0,0,0,0,0,0,51000,0
26302,0,0,0,0,0,0,560690,0
26303,0,0,0,0,0,0,43200,0
26304,0,0,0,0,0,0,57000,0
26401,0,0,0,0,0,0,48700,0
26402,0,0,0,0,0,0,8400,0
26403,0,0,0,0,0,0,3861600,0
26404,0,0,0,0,0,0,51900,0
26501,0,0,0,0,0,0,327200,0
26502,0,0,0,0,0,0,82170,0
26503,0,0,0,0,0,0,1219800,0
26504,0,0,0,0,0,0,57000,0
26601,0,0,0,0,0,0,428000,0
26602,0,0,0,0,0,0,54000,0
26603,0,0,0,0,0,0,58400,0
26604,0,0,0,0,0,0,64200,0
27101,0,0,0,0,0,0,49355,0
27102,0,0,0,0,0,0,41500,0
27103,0,0,0,0,0,0,115229,0
27104,0,0,0,0,0,0,49400,0
27201,0,0,0,0,0,0,71200,0
27202,0,0,0,0,0,0,91200,0
27203,0,0,0,0,0,0,115200,0
27204,0,0,0,0,0,0,28800,0
27301,0,0,0,0,0,0,67800,0
27302,0,0,0,0,0,0,20200,0
27303,0,0,0,0,0,0,66300,0
27304,0,0,0,0,0,0,77200,0
27401,0,0,0,0,0,0,0,110260
27402,0,0,0,0,0,0,54000,0
27403,0,0,0,0,0,0,46490,0
27404,0,0,0,0,0,0,37300,0
27501,0,0,0,0,0,0,51000,0
27502,0,0,0,0,0,0,49600,0
27503,0,0,0,0,0,0,10100,0
27504,0,0,0,0,0,0,57000,0
27601,0,0,0,0,0,0,20200,0
27602,0,0,0,0,0,0,170850,0
27603,0,0,0,0,0,0,1428200,0
27604,0,0,0,0,0,0,130600,0
28101,0,0,0,0,0,0,121800,0
28102,0,0,0,0,0,0,578645,0
28103,0,0,0,0,0,0,375830,0
28104,0,0,0,0,0,0,150200,0
28201,0,0,0,0,0,0,119770,0
28202,0,0,0,0,0,0,74200,0
28203,0,0,0,0,0,0,112400,0
28204,0,0,0,0,0,0,88600,0
28301,0,0,0,0,0,0,715900,0
28302,0,0,0,0,0,0,76400,0
28303,0,0,0,0,0,0,113300,0
28304,0,0,0,0,0,0,4576760,0
28401,0,0,0,0,0,0,51600,0
28402,0,0,0,0,0,0,167324,0
28403,0,0,0,0,0,0,73100,0
28404,0,0,0,0,0,0,64100,0
28501,0,0,0,0,0,0,49000,0
28502,0,0,0,0,0,0,282800,0
28503,0,0,0,0,0,0,169600,0
28504,0,0,0,0,0,0,170150,0
28601,0,0,0,0,0,0,218800,0
28602,0,0,0,0,0,0,54000,0
28603,0,0,0,0,0,0,216600,0
28604,0,0,0,0,0,0,318350,0
29101,0,0,0,0,0,0,0,5000
29102,0,0,0,0,0,0,74200,0
29103,0,0,0,0,0,0,10100,0
29104,0,0,0,0,0,0,46948,0
29201,0,0,0,0,0,0,174500,0
29202,0,0,0,0,0,0,53000,0
29203,0,0,0,0,0,0,831328,0
29204,0,0,0,0,0,0,1154440,0
29301,0,0,0,0,0,0,1501176,0
29302,0,0,0,0,0,0,63200,0
29303,0,0,0,0,0,0,69000,0
29304,0,0,0,0,0,0,98700,0
29401,0,0,0,0,0,0,61100,0
29402,0,0,0,0,0,0,1256644,0
29403,0,0,0,0,0,0,76200,0
29404,0,0,0,0,0,0,1985200,0
29501,0,0,0,0,0,0,53200,0
29502,0,0,0,0,0,0,74200,0
29503,0,0,0,0,0,0,54000,0
29504,0,0,0,0,0,0,190460,0
29601,0,0,0,0,0,0,69124,0
29602,0,0,0,0,0,0,1011700,0
29603,0,0,0,0,0,0,234200,0
29604,0,0,0,0,0,0,54490,0
30101,0,0,0,0,0,0,121200,0
30102,0,0,0,0,0,0,84300,0
30103,0,0,0,0,0,0,169601,0
30104,0,0,0,0,0,0,86700,0
30201,0,0,0,0,0,0,45400,0
30202,0,0,0,0,0,0,64100,0
30203,0,0,0,0,0,0,139000,0
30204,0,0,0,0,0,0,62200,0
30301,0,0,0,0,0,0,51000,0
30302,0,0,0,0,0,0,2532337,0
30303,0,0,0,0,0,0,54000,0
30304,0,0,0,0,0,0,1915400,0
30401,0,0,0,0,0,0,435630,0
30402,0,0,0,0,0,0,160610,0
30403,0,0,0,0,0,0,112000,0
30404,0,0,0,0,0,0,45000,0
30501,0,0,0,0,0,0,67400,0
30502,0,0,0,0,0,0,1001958,0
30503,0,0,0,0,0,0,84300,0
30504,0,0,0,0,0,0,57000,0
30601,0,0,0,0,0,0,2283823,0
30602,0,0,0,0,0,0,53600,0
30603,0,0,0,0,0,0,54000,0
30604,0,0,0,0,0,0,74300,0
